reader,prompt_version,tag,label,sheet,id,filename,img_sha16,photo_type,item_on_scale,display_text,has_decimal,display_legible,display_unit_shown,package_text,package_qty,package_unit,notes
sonnet_hi1,v1.0,restest,0001,sheet_001.jpg,9995,1773730865630.jpg,fd2ffb81395db02e,scale_with_item,True,0.780,True,clear,none_shown,355 mL,355.0,mL,Mountain Dew glass bottle held upright by blue cloth sling on scale
sonnet_hi1,v1.0,restest,0002,sheet_002.jpg,5077,1773710954464.jpg,7e931c8deb30e4f8,scale_with_item,True,0.200,True,clear,none_shown,,,,bunch of leafy greens (kangkong) on scale
sonnet_hi1,v1.0,restest,0003,sheet_003.jpg,4996,1775703652194.jpg,c6b730964cc242b1,scale_with_item,True,0.130,True,clear,none_shown,,,,single carrot on scale
sonnet_hi1,v1.0,restest,0004,sheet_004.jpg,2532,1776737899434.jpg,1e1e842f2d8c53ba,scale_with_item,True,0.895,True,clear,none_shown,,,,cabbage head on scale
sonnet_hi1,v1.0,restest,0005,sheet_005.jpg,10965,1776822393755.jpg,66c25c4a3cc4191a,scale_with_item,True,,,ambiguous,none_shown,,,,"weight display reads approximately 0.5XX-0.6XX; second digit after decimal not reliably distinguishable (looked like 5, 6, or 9 depending on crop); avocado/fruit shake cup with straw and dome lid on scale"
sonnet_hi1,v1.0,restest,0006,sheet_006.jpg,9509,1773728678859.jpg,ff5cff69e1d7e68a,scale_with_item,True,0.470,True,clear,none_shown,,,,"loaf of bread in green/white plastic packaging (bakery bread), nutrition facts panel visible but no net-weight figure legible"
sonnet_hi1,v1.0,restest,0007,sheet_007.jpg,7639,1774487698787.jpg,21b3fd51530ed45f,scale_with_item,True,0.240,True,clear,none_shown,,,,iced coffee/frappe cup with dome lid and straw on scale
sonnet_hi1,v1.0,restest,0008,sheet_008.jpg,9790,1773880892030.jpg,79659566ef7d4a2b,scale_with_item,True,0.025,True,clear,none_shown,,,,Skyflakes crackers pack on scale; small printed net-weight text on wrapper not legible enough to transcribe
sonnet_hi1,v1.0,restest,0009,sheet_009.jpg,110,1778117239723.jpg,a67f9af7f642c2da,scale_with_item,True,0.205,True,clear,none_shown,,,,single carrot on scale
sonnet_hi1,v1.0,restest,0010,sheet_010.jpg,10707,1777606851141.jpg,4704b2eae7332e73,scale_with_item,True,0.750,True,clear,none_shown,,,,tall cup of iced milk-tea style drink with straw on scale
sonnet_hi1,v1.0,restest,0011,sheet_011.jpg,8474,1775701177913.jpg,68301c17fbcbab6c,scale_with_item,True,0.470,True,clear,none_shown,NetContent:450g,450.0,g,pink 'Refreshing Strawberry' cup with red lid on scale
sonnet_hi1,v1.0,restest,0012,sheet_012.jpg,9461,1773796774872.jpg,1e161f721c2b6170,scale_with_item,True,0.040,True,clear,none_shown,,,,Fudgee Barr Macapuno wrapped bar on scale; nutrition facts panel visible but net-weight text not legible
sonnet_hi1,v1.0,restest,0013,sheet_013.jpg,5443,1774578054508.jpg,ae85099777867686,scale_with_item,True,1.175,True,clear,none_shown,,,,large bag of meat/poultry wrapped in white plastic on scale
sonnet_hi1,v1.0,restest,0014,sheet_014.jpg,10269,1774669586277.jpg,b2ffa0df187d5e35,scale_with_item,True,0.045,True,clear,none_shown,,,,single fried chicken wing on plastic wrap on scale
sonnet_hi1,v1.0,restest,0015,sheet_015.jpg,10706,1777607182345.jpg,5341133e353dfe9d,scale_with_item,True,0.810,True,clear,none_shown,,,,milkshake in glass mason-jar mug with straw and whipped cream on scale
sonnet_hi1,v1.0,restest,0016,sheet_016.jpg,5184,1775866549083.jpg,d17482a0c551c303,scale_with_item,True,0.080,True,clear,none_shown,,,,raw chicken wing pieces on scale tray
sonnet_hi1,v1.0,restest,0017,sheet_017.jpg,9510,1773728699938.jpg,f6e6648f4bb67fc0,scale_with_item,True,0.670,True,clear,none_shown,,,,'Angelina Super Loaf' bread bag (upside down) on scale; printed net-weight text on package appears inverted/mirrored and not reliably legible
sonnet_hi1,v1.0,restest,0018,sheet_018.jpg,6192,1773801717143.jpg,cc2391f727a0e5a0,scale_with_item,True,0.355,True,clear,none_shown,,,,Oreo Original box on scale
